rank,studentPopulation,medianBaseSalary,studentFacultyRatio,totalStudentPop,undergradPop,totalGrantAid,percentOfStudentsFinAid,percentOfStudentsGrant
471,2296,107300,11,2296,1787,8996743,100,100
472,28042,99200,18,28042,22182,22291745,93,93
473,1695,115500,10,1695,1695,13950957,100,100
474,1492,123300,11,1492,1492,16488223,100,100
475,3056,123600,13,3056,2622,2354818,95,88
476,2689,111600,11,2689,1860,12255446,100,100
477,5876,93800,14,5876,3478,13972720,99,99
478,2796,105400,12,2796,1861,13114300,99,99
479,16715,105800,15,16715,14006,7710821,85,70
480,8039,87700,16,8039,6483,11566304,97,96
481,12137,92000,17,12137,9872,5476289,83,74
482,22487,83100,16,22487,18332,17204309,87,67
483,3971,107300,14,3971,2541,9011567,97,97
484,15204,97100,16,15204,11861,13237927,93,88
485,24116,98600,21,24116,20652,18809118,88,74
486,9023,86300,14,9023,7149,30492217,91,89
487,4677,102400,12,4677,4568,6146830,84,72
488,979,98100,5,979,605,3457694,92,91
489,3822,96300,14,3822,3076,9943380,100,100
490,1149,113500,11,1149,1116,8702556,100,100
491,4972,102300,13,4972,3538,26114959,99,99
492,8079,104900,11,8079,5473,28294277,100,100
493,8667,97500,17,8667,7278,3631333,95,91
494,5901,100900,12,5901,4429,11919881,99,99
495,2961,109800,11,2961,2268,12685943,100,100
496,3163,119900,11,3163,2286,5639254,97,96
497,1980,102100,12,1980,1644,9759540,99,99
498,25128,90700,16,25128,20011,27575189,98,97
